USE_ID,CATCH_TYPE,USE_DESC
8416,HIGH_COED,Ku-ring-gai HS
8161,HIGH_BOYS,Randwick BHS
8539,HIGH_COED,SSC Blackwattle Bay
8400,HIGH_COED,St Ives HS
8555,HIGH_COED,Rose Bay SC
8556,CENTRAL_HIGH,Alexandria Park CS
8913,HIGH_COED,Inner Sydney HS
8286,HIGH_COED,Mt Annan HS
8584,HIGH_COED,Elizabeth Macarthur HS
8290,HIGH_COED,John Edmondson HS
8916,HIGH_COED,Oran Park HS
8575,HIGH_COED,Robert Townson HS
8569,HIGH_COED,Eagle Vale HS
8435,HIGH_COED,Turramurra HS
8220,HIGH_GIRLS,Randwick GHS
8922,HIGH_COED,Jerrabomberra HS
8524,HIGH_COED,Karabar HS
8919,HIGH_COED,Bungendore HS
2899,PRIMARY,Port Macquarie PS
4411,PRIMARY,Westport PS
8116,HIGH_COED,Goulburn HS
4400,PRIMARY,St Ives Park PS
8216,HIGH_COED,Queanbeyan HS
4331,PRIMARY,St Ives PS
4524,PRIMARY,Hastings PS
8554,HIGH_COED,HSC Westport
8364,HIGH_COED,HSC Port Macquarie
8395,HIGH_COED,Pendle Hill HS
8892,HIGH_COED,Arthur Phillip HS
8135,HIGH_COED,Parramatta HS
2838,PRIMARY,Parklea PS
2404,PRIMARY,Lindfield EPS
4393,PRIMARY,Carlingford WPS
4615,PRIMARY,Caddies Ck  PS
3918,PRIMARY,Killara PS
3396,PRIMARY,Waterfall PS
2304,PRIMARY,Kincumber PS
5148,INFANTS,Bardwell Park IS
4257,PRIMARY,Ryde EPS
4398,PRIMARY,Chertsey Primary School
4286,PRIMARY,Camden SPS
1537,PRIMARY,Cawdor PS
4218,PRIMARY,Gosford EPS
3986,PRIMARY,Yennora PS
4461,PRIMARY,Guise PS
3765,PRIMARY,Bundeena PS
3944,PRIMARY,Beverly Hls NPS
3948,PRIMARY,Tempe PS
2003,PRIMARY,Glenhaven PS
4496,PRIMARY,Dulwich Hill PS
7414,PRIMARY,Darlinghurst PS
1146,PRIMARY,Baryulgil PS
1372,PRIMARY,Bronte PS
2061,PRIMARY,Sth Grafton PS
4640,PRIMARY,Sherwood Ridge PS
4599,PRIMARY,Barnier PS
4572,PRIMARY,John Purchase PS
4250,PRIMARY,Randwick PS
3952,PRIMARY,Marrickville PS
4355,PRIMARY,Smithfield WPS
4563,PRIMARY,William Stimson PS
2744,PRIMARY,Newtown NPS
4580,PRIMARY,Kariong PS
1839,PRIMARY,Empire Bay PS
1498,PRIMARY,Brisbania PS
4050,PRIMARY,Point Clare PS
3534,PRIMARY,Table Top PS
1019,PRIMARY,Albury WPS
3352,PRIMARY,Walla Walla PS
3042,PRIMARY,Sawtell PS
4504,PRIMARY,Crawford PS
3735,PRIMARY,Woronora River PS
3743,PRIMARY,Riverwood PS
3748,PRIMARY,Belrose PS
3696,PRIMARY,Soldiers Pt PS
2901,PRIMARY,Prestons PS
4621,PRIMARY,Narellan Vale PS
2206,PRIMARY,Ingleburn PS
4064,PRIMARY,Macquarie Fields PS
4481,PRIMARY,St Andrews PS
1003,PRIMARY,Abermain PS
4516,PRIMARY,Eastlakes PS
2723,PRIMARY,Tomaree PS
4184,PRIMARY,Lennox Head PS
4510,PRIMARY,Claymore PS
2360,PRIMARY,Lakemba PS
2741,PRIMARY,Newrybar PS
2274,PRIMARY,Kellyville PS
2279,PRIMARY,Kempsey WPS
3968,PRIMARY,Speers Pt PS
7424,PRIMARY,Liverpool PS
4034,PRIMARY,Eleebana PS
4185,PRIMARY,Valentine PS
2054,PRIMARY,Goulburn EPS
2193,PRIMARY,Rathmines PS
1762,PRIMARY,Dora Ck  PS
2621,PRIMARY,Morisset PS
4316,PRIMARY,Mannering Park PS
4515,PRIMARY,Kambora PS
4405,PRIMARY,Beresford Rd PS
4400,PRIMARY,St Ives Park PS
3522,PRIMARY,Wyee PS
1482,PRIMARY,Camden PS
4498,PRIMARY,Minnamurra PS
1206,PRIMARY,Berridale PS
3877,PRIMARY,Corrimal EPS
2066,PRIMARY,Granville SPS
2586,PRIMARY,Mogo PS
3479,PRIMARY,Wolumla PS
4221,PRIMARY,Loftus PS
1628,PRIMARY,Cooma PS
1898,PRIMARY,Fairy Meadow PS
4208,PRIMARY,Fennell Bay PS
1007,PRIMARY,Adaminaby PS
3988,PRIMARY,Biraban PS
1904,PRIMARY,Fassifern PS
4017,PRIMARY,Booragul PS
1129,PRIMARY,Banora Pt PS
4507,PRIMARY,Bonnet Bay PS
4509,PRIMARY,Sarah Redfern PS
2703,PRIMARY,Narara PS
1497,PRIMARY,Canterbury PS
1064,PRIMARY,Ashbury PS
4447,PRIMARY,Hebersham PS
2049,PRIMARY,Gosford PS
3593,PRIMARY,Oyster Bay PS
5246,INFANTS,Bankstown SIS
4551,PRIMARY,Plunkett St PS
2900,PRIMARY,Premer PS
2801,PRIMARY,Old Guildford PS
3420,PRIMARY,Wellington PS
2417,PRIMARY,Lochinvar PS
4004,PRIMARY,Jannali EPS
4005,PRIMARY,Warilla PS
1616,PRIMARY,Coogee PS
1363,PRIMARY,Brocklesby PS
3357,PRIMARY,Wallsend PS
7308,PRIMARY,Plattsburg PS
3703,PRIMARY,Sth Coogee PS
4009,PRIMARY,Fairvale PS
7427,PRIMARY,Maroubra Jn PS
1671,PRIMARY,Cowra PS
1659,PRIMARY,Corowa SPS
2186,PRIMARY,Howlong PS
3958,PRIMARY,Padstow Hts PS
3957,PRIMARY,Woolooware PS
4546,PRIMARY,Katoomba PS
4366,PRIMARY,Toongabbie EPS
2391,PRIMARY,Leura PS
4222,PRIMARY,Darcy Rd PS
4110,PRIMARY,Central Mangrove PS
3311,CENTRAL_PRIMARY,Ungarie CS
2525,PRIMARY,Merewether PS
3247,PRIMARY,Toronto PS
3896,PRIMARY,Como WPS
4660,PRIMARY,Bayanami PS
2842,PRIMARY,Parramatta NPS
1990,PRIMARY,Gladesville PS
1042,PRIMARY,Annandale NPS
1661,PRIMARY,Corrimal PS
1041,PRIMARY,Annandale PS
1166,PRIMARY,Beecroft PS
4294,PRIMARY,Roselea PS
1131,CENTRAL_PRIMARY,Barellan CS
2572,PRIMARY,Minto PS
1791,PRIMARY,Dungay PS
4535,PRIMARY,Blairmount PS
4514,PRIMARY,King St PS
3956,PRIMARY,Beaumont Rd PS
3919,PRIMARY,Castle Cove PS
2403,PRIMARY,Lindfield PS
2994,PRIMARY,Roseville PS
7413,PRIMARY,Daceyville PS
3304,PRIMARY,Ulong PS
2814,PRIMARY,Orara Upper PS
3332,PRIMARY,Nth Wagga PS
7444,PRIMARY,Rosehill PS
1896,PRIMARY,Fairfield WPS
4674,PRIMARY,Estella PS
4161,PRIMARY,Liverpool WPS
4067,PRIMARY,Matraville SSPS
4607,PRIMARY,Centaur PS
3983,PRIMARY,Canley Hts PS
4344,PRIMARY,Ashcroft PS
2356,PRIMARY,Laguna PS
4396,PRIMARY,Busby WPS
1845,PRIMARY,Engadine PS
4594,PRIMARY,Bonnyrigg Hts PS
4608,PRIMARY,Glendenning PS
2342,PRIMARY,Kurrajong PS
2480,PRIMARY,Maroota PS
4652,PRIMARY,Marie Bashir PS
1813,PRIMARY,Ebenezer PS
4427,PRIMARY,Niagara Park PS
4483,PRIMARY,Grose View PS
3966,PRIMARY,Blackalls Park PS
4436,PRIMARY,Winmalee PS
3980,PRIMARY,Cabramatta WPS
4278,PRIMARY,Marsden Rd PS
4624,PRIMARY,Greenway Park PS
2472,PRIMARY,Maraylya PS
2482,PRIMARY,Maroubra Bay PS
2097,PRIMARY,Gulgong PS
2451,PRIMARY,Maitland EPS
5103,INFANTS,Arncliffe WIS
3204,PRIMARY,Thornton PS
7404,PRIMARY,Balmain PS
7307,PRIMARY,Orange PS
2084,PRIMARY,Greta PS
3060,PRIMARY,Shellharbour PS
3022,PRIMARY,Nth Ryde PS
4160,PRIMARY,Kent Rd PS
3449,PRIMARY,Willoughby PS
2315,PRIMARY,Kitchener PS
1982,PRIMARY,Gillieston PS
2271,PRIMARY,Keiraville PS
4632,PRIMARY,Bogangar PS
1040,PRIMARY,Anna Bay PS
1566,PRIMARY,Clemton Park PS
1844,PRIMARY,Enfield PS
4192,PRIMARY,Bert Oldfield PS
4116,PRIMARY,Blacktown WPS
4381,PRIMARY,Shelley PS
4444,PRIMARY,Metella Rd PS
1768,PRIMARY,Double Bay PS
2643,PRIMARY,Mt Kembla PS
4475,PRIMARY,Leonay PS
2642,PRIMARY,Mt Keira PS
5128,INFANTS,Nillo IS
1529,PRIMARY,Castle Hill PS
1367,PRIMARY,Broke PS
4019,PRIMARY,Forestville PS
1830,PRIMARY,Ellerston PS
4479,PRIMARY,John Warby PS
2001,PRIMARY,Glenfield PS
4558,PRIMARY,Eschol Park PS
4567,PRIMARY,Governor Philip King PS
4467,PRIMARY,King Park PS
3029,PRIMARY,St Johns Park PS
2927,PRIMARY,Raglan PS
1148,PRIMARY,Bass Hill PS
1358,PRIMARY,Brighton-Le-Sands PS
1512,PRIMARY,Carlton PS
3305,PRIMARY,Ultimo PS
1590,PRIMARY,Collector PS
4671,PRIMARY,Barramurra PS
2913,PRIMARY,Putney PS
3863,PRIMARY,Meadowbank PS
3023,PRIMARY,West Ryde PS
2933,PRIMARY,Rand PS
3972,PRIMARY,Caringbah NPS
4357,PRIMARY,Pleasant Hts PS
1106,PRIMARY,Balgownie PS
4328,PRIMARY,Sherwood Grange PS
4126,PRIMARY,Campbelltown NPS
4521,PRIMARY,Metford PS
4277,PRIMARY,Campbelltown EPS
4489,PRIMARY,Ruse PS
4505,PRIMARY,Ambarvale PS
3457,PRIMARY,Windellama PS
4342,PRIMARY,Picnic Pt PS
4431,PRIMARY,Marton PS
3189,PRIMARY,Terranora PS
3277,PRIMARY,Tumbulgum PS
2857,PRIMARY,Pennant Hls PS
4650,PRIMARY,Wilton PS
2153,PRIMARY,Helensburgh PS
1045,PRIMARY,Appin PS
2818,PRIMARY,Otford PS
3045,PRIMARY,Scarborough PS
1313,CENTRAL_PRIMARY,Boorowa CS
3862,PRIMARY,Denistone EPS
1320,PRIMARY,Boronia Park PS
3148,PRIMARY,Tahmoor PS
2407,PRIMARY,Lisarow PS
2166,PRIMARY,Hill Top PS
1075,PRIMARY,Auburn WPS
1807,PRIMARY,Earlwood PS
2844,PRIMARY,Paterson PS
2093,PRIMARY,Guildford PS
7403,PRIMARY,Auburn PS
3931,PRIMARY,Seven Hls PS
3252,PRIMARY,Towamba PS
4165,PRIMARY,Epping NPS
4290,PRIMARY,Mt Druitt PS
1240,PRIMARY,Birchgrove PS
2968,PRIMARY,The Risk PS
3527,PRIMARY,Wyong PS
3951,PRIMARY,Marrickville WPS
1488,PRIMARY,Campsie PS
7430,PRIMARY,Mosman PS
4111,PRIMARY,Tweed Hds SPS
4011,PRIMARY,Lake Hts PS
4601,PRIMARY,Aldavilla PS
1874,PRIMARY,Eungai PS
4016,PRIMARY,Revesby SPS
3104,PRIMARY,Warrawong PS
4266,PRIMARY,Lakelands PS
4556,PRIMARY,Wytaliba PS
4574,PRIMARY,Samuel Gilbert PS
2428,PRIMARY,Lowanna PS
4123,PRIMARY,Rydalmere EPS
1134,PRIMARY,Bargo PS
4125,PRIMARY,Ermington WPS
4248,PRIMARY,Vardys Rd PS
4401,PRIMARY,Murray Farm PS
1971,PRIMARY,Gerringong PS
2826,PRIMARY,Padstow Park PS
2749,PRIMARY,Nicholson St PS
5120,INFANTS,Yeo Park IS
4435,PRIMARY,Mt Riverview PS
4106,PRIMARY,Nowra Hill PS
2761,PRIMARY,Northbridge PS
2493,PRIMARY,Martins Ck  PS
4573,PRIMARY,Tharawal PS
4029,PRIMARY,Dundas PS
4446,PRIMARY,Dawson PS
3423,PRIMARY,Wentworthville PS
3871,PRIMARY,Wattle Grove PS
3872,PRIMARY,Greenwell Pt PS
5241,INFANTS,Mt Lewis IS
1589,CENTRAL_PRIMARY,Collarenebri CS
3976,PRIMARY,Farmborough Rd PS
3308,PRIMARY,Unanderra PS
4180,PRIMARY,Berkeley WPS
2053,PRIMARY,Goulburn PS
4282,PRIMARY,Marayong Hts PS
3898,PRIMARY,Marks Pt PS
2055,PRIMARY,Goulburn NPS
1178,PRIMARY,Bellbrook PS
4228,PRIMARY,Bullarah PS
4649,PRIMARY,Tullimbar PS
4458,PRIMARY,Briar Rd PS
4314,PRIMARY,Harrington St PS
4545,PRIMARY,Bonnyrigg PS
4336,PRIMARY,Heckenberg PS
2971,PRIMARY,Robertson PS
2763,PRIMARY,Northmead PS
4417,PRIMARY,Winston Hls PS
4490,PRIMARY,Campbellfield PS
4471,PRIMARY,Winston Hts PS
4480,PRIMARY,Bidwill PS
1341,PRIMARY,Branxton PS
4299,PRIMARY,Chifley PS
3999,PRIMARY,Richmond PS
3964,PRIMARY,Figtree PS
3881,PRIMARY,Mt St Thomas PS
1612,PRIMARY,Coniston PS
4037,PRIMARY,Cringila PS
4077,PRIMARY,Illawong PS
4602,PRIMARY,William Bayldon PS
3182,PRIMARY,The Sir Henry PMPS
3137,PRIMARY,Sutton PS
2349,PRIMARY,Kyogle PS
4423,PRIMARY,Mt Brown PS
2502,PRIMARY,Matraville PS
1085,PRIMARY,Colo Vale PS
3504,PRIMARY,Borenore PS
4380,PRIMARY,Calare PS
4225,PRIMARY,Tulloona PS
4320,PRIMARY,Gwandalan PS
2759,PRIMARY,Nords Wharf PS
4367,PRIMARY,Caves Beach PS
3141,PRIMARY,Swansea PS
2476,PRIMARY,Pelican Flat PS
2555,PRIMARY,Millfield PS
3441,PRIMARY,Wilberforce PS
4197,PRIMARY,Blacksmiths PS
1183,PRIMARY,Belmont PS
1937,PRIMARY,Fort St PS
2213,CENTRAL_PRIMARY,Ivanhoe CS
7301,PRIMARY,Canowindra PS
2341,PRIMARY,Kurnell PS
2177,PRIMARY,Telarah PS
7406,PRIMARY,Bexley PS
3830,PRIMARY,Ramsgate PS
4619,PRIMARY,Henry Fulton PS
3890,PRIMARY,Cooma NPS
1921,CENTRAL_PRIMARY,Lord Howe ICS
4022,PRIMARY,Coal Pt PS
4200,PRIMARY,Allambie Hts PS
3997,PRIMARY,Hilltop Rd PS
4331,PRIMARY,St Ives PS
7409,PRIMARY,Chatswood PS
4198,PRIMARY,Casula PS
4642,PRIMARY,Ashtonfield PS
2421,PRIMARY,Londonderry PS
4285,PRIMARY,Bennett Rd PS
4256,PRIMARY,Nowra EPS
3869,PRIMARY,Yagoona PS
2904,PRIMARY,Primbee PS
3343,PRIMARY,Walhallow PS
4263,PRIMARY,Tarro PS
2506,PRIMARY,Mayfield EPS
1518,PRIMARY,Carrington PS
3213,PRIMARY,Tighes Hill PS
4462,PRIMARY,Figtree Hts PS
4464,PRIMARY,Sanctuary Pt PS
2740,PRIMARY,Newport PS
2593,PRIMARY,Mona Vale PS
3795,PRIMARY,Hamilton SPS
3240,PRIMARY,Toongabbie PS
4377,PRIMARY,Baulkham Hls NPS
2285,PRIMARY,Kentlyn PS
2293,PRIMARY,Kiama PS
1808,PRIMARY,Eastern Ck  PS
1061,PRIMARY,Artarmon PS
2368,PRIMARY,Lane Cove PS
4399,PRIMARY,Hayes Park PS
4083,PRIMARY,Kemblawarra PS
3908,PRIMARY,Lane Cove WPS
3867,PRIMARY,Lake Illawarra SPS
4333,PRIMARY,Warilla NPS
4288,PRIMARY,Holsworthy PS
4088,PRIMARY,Padstow NPS
3698,PRIMARY,Chester Hill PS
1775,PRIMARY,Dubbo PS
4291,PRIMARY,Balarang PS
1992,PRIMARY,Windang PS
4395,PRIMARY,Mt Warrigal PS
3053,PRIMARY,Seven Hls NPS
1823,PRIMARY,Eglinton PS
4129,PRIMARY,Heaton PS
3824,PRIMARY,Bathurst WPS
4614,PRIMARY,Windsor Park PS
1668,PRIMARY,Cowan PS
4162,PRIMARY,Seven Hls WPS
4338,PRIMARY,Miller PS
1988,PRIMARY,Girraween PS
3794,PRIMARY,Bald Face PS
3993,PRIMARY,Pendle Hill PS
1890,PRIMARY,Excelsior PS
4585,PRIMARY,Bligh Park PS
2189,PRIMARY,Hunters Hill PS
2377,PRIMARY,Laurieton PS
2958,PRIMARY,Revesby PS
1199,PRIMARY,Berala PS
4212,PRIMARY,Quakers Hill EPS
5272,PRIMARY,Heathcote EPS
4230,PRIMARY,Laguna St PS
7405,PRIMARY,Bankstown PS
4020,PRIMARY,Glenroi Hts PS
2245,PRIMARY,Jugiong PS
2706,PRIMARY,Narrabeen Lakes PS
2129,PRIMARY,Hampton PS
1104,PRIMARY,Seaforth PS
3876,PRIMARY,Muswellbrook SPS
4038,PRIMARY,Epping Hts PS
1851,PRIMARY,Epping WPS
7302,PRIMARY,Carlingford PS
4678,PRIMARY,Ngarala PS
2531,PRIMARY,Merrylands PS
3470,PRIMARY,Wisemans Ferry PS
3905,PRIMARY,Pagewood PS
1143,PRIMARY,Barrington PS
1857,PRIMARY,Woodport PS
1271,PRIMARY,Bobs Farm PS
4651,PRIMARY,Oran Park PS
1558,PRIMARY,Chillingham PS
4101,PRIMARY,Murwillumbah EPS
2687,PRIMARY,Murwillumbah PS
4547,PRIMARY,Tanilba Bay PS
2512,PRIMARY,Medowie PS
4372,PRIMARY,Irrawang PS
2149,PRIMARY,Heathcote PS
3159,PRIMARY,Tanja PS
2843,PRIMARY,Parramatta WPS
2223,PRIMARY,Jennings PS
1654,PRIMARY,Corindi PS
7445,PRIMARY,Woy Woy PS
2841,PRIMARY,Wooli PS
4329,PRIMARY,Woy Woy SPS
1186,PRIMARY,Belmore SPS
2510,PRIMARY,The Meadows PS
1801,PRIMARY,Duranbah PS
1696,PRIMARY,Cudgen PS
4450,PRIMARY,Berinba PS
4346,PRIMARY,Kingswood Park PS
2852,PRIMARY,Peats Ridge PS
2987,PRIMARY,Rosebank PS
2231,PRIMARY,Jerrys Plains PS
2056,PRIMARY,Goulburn SPS
4459,PRIMARY,Woodberry PS
2528,CENTRAL_PRIMARY,Merriwa CS
2656,PRIMARY,Mudgee PS
3995,PRIMARY,Umina Beach PS
1455,PRIMARY,Burwood PS
4191,PRIMARY,Lalor Park PS
1656,PRIMARY,Corndale PS
1185,PRIMARY,Belmore NPS
2439,PRIMARY,Macdonald Valley PS
3354,PRIMARY,Wallerawang PS
4311,PRIMARY,Bardia PS
2507,PRIMARY,Mayfield WPS
1621,CENTRAL_PRIMARY,Coolah CS
1073,PRIMARY,Auburn NPS
4555,PRIMARY,Cudgegong Valley PS
3435,PRIMARY,White Cliffs PS
3442,CENTRAL_PRIMARY,Wilcannia CS
4508,PRIMARY,Valley View PS
2840,PRIMARY,Parramatta PS
4013,PRIMARY,Peakhurst WPS
3970,PRIMARY,Collaroy Plateau PS
3984,PRIMARY,Balgowlah NPS
1850,PRIMARY,Epping PS
3906,PRIMARY,Narrabeen NPS
2009,PRIMARY,Glenmore Rd PS
4453,PRIMARY,Blackett PS
1644,PRIMARY,Coraki PS
4177,PRIMARY,Albert Park PS
4476,PRIMARY,Shalvey PS
4663,PRIMARY,Bella Vista PS
4147,PRIMARY,Erskineville PS
3719,PRIMARY,Annangrove PS
3578,PRIMARY,Pottsville Beach PS
4249,PRIMARY,Wheeler Hts PS
2086,PRIMARY,Greystanes PS
3038,PRIMARY,Sans Souci PS
4526,PRIMARY,Matthew Pearce PS
4057,PRIMARY,Birrong PS
3302,PRIMARY,Ulladulla PS
4058,PRIMARY,Leumeah PS
3702,PRIMARY,Georges Hall PS
2374,PRIMARY,Largs PS
3789,PRIMARY,Condell Park PS
4259,PRIMARY,Burraneer Bay PS
7418,PRIMARY,Gardeners Rd PS
4422,PRIMARY,Emerton PS
7408,PRIMARY,Bourke St PS
4368,PRIMARY,Wakehurst PS
1946,PRIMARY,Frenchs Forest PS
4420,PRIMARY,Nuwarra PS
2560,PRIMARY,Milperra PS
4012,PRIMARY,Panania NPS
3736,PRIMARY,Balgowlah Hts PS
3950,PRIMARY,Manly Village PS
4627,PRIMARY,Newington PS
4059,PRIMARY,Wattawa Hts PS
2016,PRIMARY,Glenreagh PS
1560,PRIMARY,Chipping Norton PS
